trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.4, 'e': 0.9106469481779949}",20,2,-52.55343978854558,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.9099187219487829}",20,0,-64.81786128614672,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.4, 'e': 0.909191078067584}",25,0,-114.70600470511218,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
120,False,"{'a': 0.4, 'e': 0.9084640160687062}",20,0,-42.021404098713866,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
121,False,"{'a': 0.4, 'e': 0.9077375354868296}",25,0,-68.9346487263843,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
122,False,"{'a': 0.4, 'e': 0.9070116358570067}",20,0,-137.12043284434154,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
123,False,"{'a': 0.4, 'e': 0.9062863167146616}",20,0,-53.23614266981471,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.4, 'e': 0.9055615775955903}",20,0,-29.582055759619585,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.4, 'e': 0.9048374180359595}",20,0,-69.7359625014178,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
126,False,"{'a': 0.4, 'e': 0.9041138375723072}",25,0,-41.523700345398595,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.4, 'e': 0.9033908357415418}",25,0,-132.1770580510605,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
128,False,"{'a': 0.4, 'e': 0.9026684120809421}",25,0,-192.84740166670585,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
129,False,"{'a': 0.4, 'e': 0.9019465661281568}",35,0,-110.73635691896122,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
130,False,"{'a': 0.4, 'e': 0.9012252974212047}",20,0,-130.5715725646444,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
131,False,"{'a': 0.4, 'e': 0.9005046054984738}",35,0,-224.35629674581875,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 5}",0
132,False,"{'a': 0.4, 'e': 0.8997844898987211}",30,0,-100.25185106612133,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
133,False,"{'a': 0.4, 'e': 0.8990649501610726}",20,0,-47.14879019310348,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
134,False,"{'a': 0.4, 'e': 0.898345985825023}",20,0,-42.75958215036359,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
135,False,"{'a': 0.4, 'e': 0.8976275964304349}",20,0,-52.59350435937043,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.8969097815175392}",20,0,-128.77747321446702,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
137,False,"{'a': 0.4, 'e': 0.8961925406269342}",20,0,-19.90877765016001,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.8954758732995859}",30,0,-145.00990030385296,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
139,False,"{'a': 0.4, 'e': 0.894759779076827}",30,0,-74.96911925301231,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.8940442575003572}",25,0,-191.28402457289977,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
141,False,"{'a': 0.4, 'e': 0.8933293081122429}",30,0,-180.85871926512198,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
142,False,"{'a': 0.4, 'e': 0.8926149304549161}",25,0,-127.75518309410133,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
143,False,"{'a': 0.4, 'e': 0.8919011240711754}",25,0,-255.40785220676938,"{0: 11, 1: 4, 2: 3, 3: 3, 4: 4}",0
144,False,"{'a': 0.4, 'e': 0.8911878885041844}",25,0,-102.60877094058273,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
145,False,"{'a': 0.4, 'e': 0.8904752232974726}",25,0,-89.90574324934174,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.4, 'e': 0.8897631279949341}",20,1,-92.61783290565444,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
147,False,"{'a': 0.4, 'e': 0.8890516021408278}",30,4,-144.22459894787613,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 1}",1
148,False,"{'a': 0.4, 'e': 0.8883406452797773}",25,2,-154.31037789743914,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 2}",1
149,False,"{'a': 0.4, 'e': 0.88763025695677}",25,0,-142.1093496311531,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
150,False,"{'a': 0.4, 'e': 0.8869204367171575}",30,0,-140.8010466966291,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
151,False,"{'a': 0.4, 'e': 0.8862111841066548}",20,0,-2.0907585848502594,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.4, 'e': 0.8855024986713401}",25,0,-95.72750514686992,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.8847943799576549}",20,0,-49.312515237397825,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.884086827512403}",30,0,-256.4468472457174,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
155,False,"{'a': 0.4, 'e': 0.8833798408827509}",25,2,-62.116600947487335,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
156,False,"{'a': 0.4, 'e': 0.8826734196162271}",20,3,-22.03877794994153,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.4, 'e': 0.881967563260722}",20,0,-33.55680056082629,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.8812622713644874}",20,0,-173.89697532047265,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",1
159,False,"{'a': 0.4, 'e': 0.8805575434761367}",20,3,-97.99624247096091,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
160,False,"{'a': 0.4, 'e': 0.8798533791446438}",20,0,-89.21106381288018,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
161,False,"{'a': 0.4, 'e': 0.8791497779193437}",20,0,-127.76190290164196,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
162,False,"{'a': 0.4, 'e': 0.8784467393499313}",25,0,-34.41050897894445,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
163,False,"{'a': 0.4, 'e': 0.8777442629864621}",25,0,-109.2237575959291,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
164,False,"{'a': 0.4, 'e': 0.8770423483793512}",25,2,-181.3462527640077,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 3}",1
165,False,"{'a': 0.4, 'e': 0.8763409950793732}",25,0,-260.6035996430081,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
166,False,"{'a': 0.4, 'e': 0.8756402026376621}",20,0,-90.72184706031582,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
167,False,"{'a': 0.4, 'e': 0.8749399706057105}",20,0,-78.66576634509762,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
168,False,"{'a': 0.4, 'e': 0.8742402985353699}",25,13,-46.8692451977159,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.8735411859788501}",35,0,-120.46761536704017,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",1
170,False,"{'a': 0.4, 'e': 0.8728426324887193}",30,0,-179.94098824977388,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
171,False,"{'a': 0.4, 'e': 0.8721446376179031}",20,9,-62.492600214376296,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
172,False,"{'a': 0.4, 'e': 0.8714472009196846}",30,2,-107.92551038735012,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 2}",1
173,False,"{'a': 0.4, 'e': 0.8707503219477046}",25,0,-151.2287639534487,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
174,False,"{'a': 0.4, 'e': 0.8700540002559602}",20,4,-34.926421321085165,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.8693582353988059}",30,0,-228.8156733180057,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
176,False,"{'a': 0.4, 'e': 0.8686630269309517}",25,0,-164.19090060995887,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
177,False,"{'a': 0.4, 'e': 0.8679683744074644}",20,1,-53.610746897038425,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
178,False,"{'a': 0.4, 'e': 0.8672742773837665}",35,0,-162.598221583472,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
179,False,"{'a': 0.4, 'e': 0.8665807354156356}",25,0,-245.35339956284068,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
180,False,"{'a': 0.4, 'e': 0.865887748059205}",20,0,-15.386844735409035,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
181,False,"{'a': 0.4, 'e': 0.8651953148709627}",25,0,-130.02941504077896,"{0: 10, 1: 9, 2: 4, 3: 1, 4: 1}",0
182,False,"{'a': 0.4, 'e': 0.8645034354077514}",20,5,-88.58920164583368,"{0: 8, 1: 0, 2: 4, 3: 3, 4: 0}",1
